id,abstraction,role_stereotype
MessageListFragment,concrete,Interfacer
SyncNotifications,concrete,Coordinator
AttachmentResolver,concrete,Service Provider
MessageCompose,concrete,Controller
AutocryptOperations,concrete,Service Provider
ImapResponse,concrete,Information Holder
UnreadWidgetProvider,concrete,Controller
AttachmentResolver,concrete,Service Provider
MessageCompose,concrete,Controller
MessageReference,concrete,Information Holder
LocalStore,interface,Service Provider
MemorizingMessagingListener,concrete,Controller
MessageListHandler,concrete,Interfacer
WebDavStoreUriCreator,concrete,Service Provider
Account,concrete,Information Holder
MemorizingMessagingListener,concrete,Controller
MessageListHandler,concrete,Interfacer
ImapResponseParser,concrete,Service Provider
ImapList,concrete,Structurer
MessagingException,concrete,Information Holder
MessageCryptoCallback,interface,Service Provider
ImapResponse,concrete,Information Holder
AccountSetupIncoming,concrete,Interfacer
MessageCryptoHelper,concrete,Service Provider
ResponseCodeExtractor,concrete,Service Provider
MessageCryptoHelper,concrete,Service Provider
MessageCryptoHelper,concrete,Service Provider
DeferredFileBody,concrete,Service Provider
MessageCryptoAnnotations,concrete,Structurer
ConditionsTreeNode,concrete,Structurer
Part,interface,Service Provider
ImapResponseParser,concrete,Service Provider
SqlQueryBuilder,concrete,Service Provider
MessageCryptoHelper,concrete,Service Provider
SmtpTransport,concrete,Service Provider
LocalMessage,concrete,Information Holder
DeferredFileOutputStream,concrete,Information Holder
MimeBodyPart,concrete,Structurer
SmtpTransport,concrete,Service Provider
Folder,abstract,Structurer
ImapFolderPusher,concrete,Controller
Flag,concrete,Information Holder
MessageCryptoHelper,concrete,Service Provider
AttachmentViewInfo,concrete,Information Holder
LocalMessage,concrete,Information Holder
FileFactory,interface,Service Provider
MessagingException,concrete,Information Holder
Address,concrete,Service Provider
MessageCryptoHelper,concrete,Service Provider
LocalMessage,concrete,Information Holder
MessageCryptoHelper,concrete,Service Provider
SmtpTransport,concrete,Service Provider
LocalMessage,concrete,Information Holder
MessagePreviewCreator,concrete,Service Provider
WebDavFolder,concrete,Service Provider
Multipart,abstract,Structurer
WebDavStoreSettings,concrete,Information Holder
EmailAddressValidator,concrete,Service Provider
WebDavHttpClient,concrete,Service Provider
StoreConfig,interface,Information Holder
Message,abstract,Structurer
RemoveNotificationResult,concrete,Information Holder
MessageHeader,concrete,Interfacer
ConnectionSecurityHolder,concrete,Information Holder
Account,concrete,Information Holder
DozeChecker,concrete,Coordinator
SqlQueryBuilder,concrete,Service Provider
WebDavHttpClient,concrete,Service Provider
MessageCryptoHelper,concrete,Service Provider
TrustedSocketFactory,interface,Service Provider
OpenPgpApiFactory,concrete,Service Provider
ConnectionSecurityAdapter,concrete,Interfacer
WebDavMessage,concrete,Service Provider
ParsedMessageEnvelope,concrete,Structurer
StoreConfig,interface,Information Holder
EOLConvertingOutputStream,concrete,Service Provider
Body,interface,Service Provider
BodyPart,abstract,Information Holder
Folder,abstract,Structurer
ServerSettings,concrete,Information Holder
MessageIdGenerator,concrete,Coordinator
BitcoinUriParser,concrete,Service Provider
Identity,concrete,Information Holder
WebDavStore,concrete,Information Holder
Folder,abstract,Structurer
MessageCryptoHelper,concrete,Service Provider
AccountSetupBasics,concrete,Interfacer
RemoteStore,abstract,Structurer
Message,abstract,Structurer
WebDavStore,concrete,Information Holder
WebDavFolder,concrete,Service Provider
HttpUriParser,concrete,Service Provider
Part,interface,Service Provider
LocalFolder,concrete,Information Holder
MessageCryptoHelper,concrete,Service Provider
DataSet,concrete,Structurer
AccountSetupBasics,concrete,Interfacer
RemoteStore,abstract,Structurer
DataSet,concrete,Structurer
WebDavStore,concrete,Information Holder
WebDavFolder,concrete,Service Provider
TextBody,concrete,Information Holder
EthereumUriParser,concrete,Service Provider
ServerSettings,concrete,Information Holder
Flag,concrete,Information Holder
MessageCryptoHelper,concrete,Service Provider
ContactPictureLoader,concrete,Service Provider
K9AlarmManager,concrete,Coordinator
RemoteStore,abstract,Structurer
WebDavStore,concrete,Information Holder
WebDavStore,concrete,Information Holder
WebDavFolder,concrete,Service Provider
AccountStats,concrete,Information Holder
MessageListRemoteViewFactory,concrete,Interfacer
Part,interface,Service Provider
MessageCryptoHelper,concrete,Service Provider
ConnectionInfo,concrete,Information Holder
UriLinkifier,concrete,Service Provider
IdentityAdapter,concrete,Structurer
ReplyToParser,concrete,Service Provider
WebDavStore,concrete,Information Holder
LocalStore,interface,Service Provider
WebDavFolder,concrete,Service Provider
CryptoResultAnnotation,concrete,Information Holder
ImapStoreSettings,concrete,Information Holder
Account,concrete,Information Holder
MessageCryptoHelper,concrete,Service Provider
Account,concrete,Information Holder
UriLinkifier,concrete,Service Provider
MailTo,concrete,Service Provider
WebDavStore,concrete,Information Holder
LocalStore,interface,Service Provider
WebDavFolder,concrete,Service Provider
AuthType,concrete,Information Holder
MessageListHandler,concrete,Interfacer
Account,concrete,Information Holder
MessageCryptoHelper,concrete,Service Provider
MimeBodyPart,concrete,Structurer
UriLinkifier,concrete,Service Provider
ComposePgpInlineDecider,concrete,Service Provider
ContactPicture,concrete,Service Provider
LocalStore,interface,Service Provider
WebDavFolder,concrete,Service Provider
Account,concrete,Information Holder
MessageReference,concrete,Information Holder
FolderInfoHolder,concrete,Information Holder
AuthType,concrete,Information Holder
ActivityListener,concrete,Service Provider
MessageListWidgetService,concrete,Service Provider
RecipientPresenter,concrete,Coordinator
MimeUtility,concrete,Service Provider
LocalStore,interface,Service Provider
RecipientPresenter,concrete,Coordinator
LocalSearch,concrete,Structurer
ActivityListener,concrete,Service Provider
ImapStoreUriDecoder,concrete,Service Provider
WebDavStoreSettings,concrete,Information Holder
LocalStore,interface,Service Provider
RecipientPresenter,concrete,Coordinator
MessageBuilder,abstract,Service Provider
MessageExtractor,concrete,Service Provider
AttachmentViewInfo,concrete,Information Holder
ImapStoreUriCreator,concrete,Service Provider
Transport,abstract,Service Provider
MessageListFragment,concrete,Interfacer
NotificationData,concrete,Structurer
RecipientPresenter,concrete,Coordinator
RecipientPresenter,concrete,Coordinator
ServerSettings,concrete,Information Holder
MessageListAdapter,concrete,Interfacer
ConnectionSecurity,concrete,Information Holder
ImapStoreUriCreator,concrete,Service Provider
MessageListFragment,concrete,Interfacer
PgpMessageBuilder,concrete,Service Provider
MimeMultipart,concrete,Information Holder
NotificationHolder,concrete,Information Holder
ServerNameSuggester,concrete,Service Provider
MessageHeader,concrete,Interfacer
RecipientPresenter,concrete,Coordinator
MessageBuilder,abstract,Service Provider
NotificationData,concrete,Structurer
MessageListFragment,concrete,Interfacer
NotificationData,concrete,Structurer
WebDavStoreSettings,concrete,Information Holder
ComposeCryptoStatus,concrete,Information Holder
MessageBuilder,abstract,Service Provider
NotificationData,concrete,Structurer
AccountSetupAccountType,concrete,Interfacer
MessageTitleView,concrete,Interfacer
Contacts,concrete,Service Provider
AddNotificationResult,concrete,Information Holder
RecipientPresenter,concrete,Coordinator
QuotedTextMode,concrete,Information Holder
EncryptionDetector,concrete,Service Provider
Attachment,concrete,Information Holder
LocalSearch,concrete,Structurer
Message,abstract,Structurer
MessagingException,concrete,Information Holder
MessagingException,concrete,Information Holder
UnreadWidgetProperties,concrete,Coordinator
Identity,concrete,Information Holder
AttachmentCounter,concrete,Service Provider
MessageBuilder,abstract,Service Provider
MessageExtractor,concrete,Service Provider
EncryptionDetector,concrete,Service Provider
NotificationActionCreator,concrete,Service Provider
MimeBodyPart,concrete,Structurer
TextPartFinder,concrete,Service Provider
NotificationController,concrete,Controller
TextBodyBuilder,concrete,Service Provider
Base64OutputStream,concrete,Coordinator
UnreadWidgetProperties,concrete,Coordinator
MessageBuilder,abstract,Service Provider
MessageFulltextCreator,concrete,Service Provider
AttachmentCounter,concrete,Service Provider
InsertableHtmlContent,concrete,Information Holder
AdvancedNodeTraversor,concrete,Service Provider
MessageBuilder,abstract,Service Provider
MessageFulltextCreator,concrete,Service Provider
DeviceNotifications,concrete,Service Provider
Account,concrete,Information Holder
BoundaryGenerator,concrete,Service Provider
MessagingException,concrete,Information Holder
NotificationContent,concrete,Information Holder
MessageBuilder,abstract,Service Provider
UnreadWidgetConfiguration,concrete,Interfacer
DeviceNotifications,concrete,Service Provider
Address,concrete,Service Provider
PreviewExtractionException,concrete,Service Provider
MessageBuilder,abstract,Service Provider
BinaryAttachmentBody,abstract,Service Provider
Identity,concrete,Information Holder
Account,concrete,Information Holder
MimeMessage,concrete,Coordinator
AccountReceiver,concrete,Service Provider
MessageBuilder,abstract,Service Provider
HtmlSignatureRemover,concrete,Coordinator
WearNotifications,concrete,Coordinator
NotificationData,concrete,Structurer
DeviceNotifications,concrete,Service Provider
SimpleMessageFormat,concrete,Information Holder
InsertableHtmlContent,concrete,Information Holder
MessageReference,concrete,Information Holder
MessageBuilder,abstract,Service Provider
Multipart,abstract,Structurer
NotificationHolder,concrete,Information Holder
LocalSearch,concrete,Structurer
KeyChainKeyManager,concrete,Service Provider
AttachmentViewInfo,concrete,Information Holder
MessageBuilder,abstract,Service Provider
PreviewTextExtractor,concrete,Service Provider
DeviceNotifications,concrete,Service Provider
MessageBuilder,abstract,Service Provider
K9RemoteControl,concrete,Information Holder
DeviceNotifications,concrete,Service Provider
SearchAccount,concrete,Coordinator
NotificationActionCreator,concrete,Service Provider
OpenPgpApiHelper,concrete,Service Provider
MessageBuilder,abstract,Service Provider
HtmlQuoteCreator,concrete,Service Provider
MessageViewFragment,concrete,Interfacer
Body,interface,Service Provider
MessagingException,concrete,Information Holder
LocalMessage,concrete,Information Holder
MessageBuilder,abstract,Service Provider
MessageViewInfoExtractor,concrete,Controller
MessageViewFragment,concrete,Interfacer
TextBody,concrete,Information Holder
ConditionsTreeNode,concrete,Structurer
MessageViewInfo,concrete,Information Holder
DefaultTrustedSocketFactory,concrete,Structurer
MessageViewFragment,concrete,Interfacer
MessageBuilder,abstract,Service Provider
MessageBuilder,abstract,Service Provider
LocalSearch,concrete,Structurer
MessageViewFragment,concrete,Interfacer
SearchAccount,concrete,Coordinator
